"branch_name","order_hour","Weekday","Forecast PRE_FILTER (CUSTOM)"
"AD Dar Al Baida",0,"Sun",0
"AD Dar Al Baida",0,"Mon",1.602105412902767
"AD Dar Al Baida",0,"Tue",0
"AD Dar Al Baida",0,"Wed",0
"AD Dar Al Baida",0,"Thu",0
"AD Dar Al Baida",0,"Fri",0
"AD Dar Al Baida",0,"Sat",0.8010527064513835
"AD Dar Al Baida",1,"Sun",0
"AD Dar Al Baida",1,"Mon",0
"AD Dar Al Baida",1,"Tue",0
"AD Dar Al Baida",1,"Wed",0
"AD Dar Al Baida",1,"Thu",0.8010527064513835
"AD Dar Al Baida",1,"Fri",0.8010527064513835
"AD Dar Al Baida",1,"Sat",0
"AD Dar Al Baida",2,"Sun",0
"AD Dar Al Baida",2,"Mon",0
"AD Dar Al Baida",2,"Tue",0
"AD Dar Al Baida",2,"Wed",0
"AD Dar Al Baida",2,"Thu",0
"AD Dar Al Baida",2,"Fri",0
"AD Dar Al Baida",2,"Sat",0
"AD Dar Al Baida",3,"Sun",0
"AD Dar Al Baida",3,"Mon",0
"AD Dar Al Baida",3,"Tue",0
"AD Dar Al Baida",3,"Wed",0
"AD Dar Al Baida",3,"Thu",0
"AD Dar Al Baida",3,"Fri",0
"AD Dar Al Baida",3,"Sat",0
"AD Dar Al Baida",4,"Sun",0
"AD Dar Al Baida",4,"Mon",0
"AD Dar Al Baida",4,"Tue",0
"AD Dar Al Baida",4,"Wed",0
"AD Dar Al Baida",4,"Thu",0
"AD Dar Al Baida",4,"Fri",0
"AD Dar Al Baida",4,"Sat",0
"AD Dar Al Baida",5,"Sun",0
"AD Dar Al Baida",5,"Mon",0
"AD Dar Al Baida",5,"Tue",0
"AD Dar Al Baida",5,"Wed",0
"AD Dar Al Baida",5,"Thu",0
"AD Dar Al Baida",5,"Fri",0
"AD Dar Al Baida",5,"Sat",0
"AD Dar Al Baida",6,"Sun",0
"AD Dar Al Baida",6,"Mon",0
"AD Dar Al Baida",6,"Tue",0
"AD Dar Al Baida",6,"Wed",0
"AD Dar Al Baida",6,"Thu",0
"AD Dar Al Baida",6,"Fri",0
"AD Dar Al Baida",6,"Sat",0
"AD Dar Al Baida",7,"Sun",0
"AD Dar Al Baida",7,"Mon",0
"AD Dar Al Baida",7,"Tue",0
"AD Dar Al Baida",7,"Wed",0
"AD Dar Al Baida",7,"Thu",0
"AD Dar Al Baida",7,"Fri",0
"AD Dar Al Baida",7,"Sat",0
"AD Dar Al Baida",8,"Sun",0
"AD Dar Al Baida",8,"Mon",0
"AD Dar Al Baida",8,"Tue",0
"AD Dar Al Baida",8,"Wed",0
"AD Dar Al Baida",8,"Thu",0
"AD Dar Al Baida",8,"Fri",0
"AD Dar Al Baida",8,"Sat",0
"AD Dar Al Baida",9,"Sun",0
"AD Dar Al Baida",9,"Mon",0
"AD Dar Al Baida",9,"Tue",0
"AD Dar Al Baida",9,"Wed",0
"AD Dar Al Baida",9,"Thu",0
"AD Dar Al Baida",9,"Fri",0
"AD Dar Al Baida",9,"Sat",0
"AD Dar Al Baida",10,"Sun",0
"AD Dar Al Baida",10,"Mon",0
"AD Dar Al Baida",10,"Tue",0
"AD Dar Al Baida",10,"Wed",0
"AD Dar Al Baida",10,"Thu",0
"AD Dar Al Baida",10,"Fri",0
"AD Dar Al Baida",10,"Sat",0
"AD Dar Al Baida",11,"Sun",0
"AD Dar Al Baida",11,"Mon",0
"AD Dar Al Baida",11,"Tue",0
"AD Dar Al Baida",11,"Wed",0
"AD Dar Al Baida",11,"Thu",0
